Time;Temp.
1.0;77.7
2.0;77.9
3.0;77.9
4.0;77.8
5.0;77.7
6.0;77.8
7.0;77.8
8.0;77.7
9.0;77.7
10.0;77.6
11.0;77.4
12.0;77.5
13.0;77.5
14.0;77.5
15.0;77.4
16.0;77.4
17.0;77.3
18.0;77.4
19.0;77.3
20.0;77.3
21.0;77.1
22.0;77.3
23.0;77.2
24.0;77.1
25.0;77.0
26.0;77.0
27.0;76.9
28.0;76.9
29.0;76.9
30.0;76.9
31.0;76.8
32.0;76.8
33.0;76.7
34.0;76.6
35.0;76.7
36.0;76.5
37.0;76.6
38.0;76.5
39.0;76.5
40.0;76.4
41.0;76.3
42.0;76.4
43.0;76.3
44.0;76.3
45.0;76.2
46.0;76.2
47.0;76.2
48.0;76.1
49.0;76.0
50.0;76.0
51.0;76.0
52.0;76.0
53.0;76.0
54.0;75.9
55.0;75.8
56.0;75.7
57.0;75.7
58.0;75.7
59.0;75.6
60.0;75.6
61.0;75.5
62.0;75.5
63.0;75.5
64.0;75.5
65.0;75.4
66.0;75.4
67.0;75.4
68.0;75.3
69.0;75.4
70.0;75.3
71.0;75.2
72.0;75.1
73.0;75.1
74.0;75.1
75.0;75.0
76.0;75.1
77.0;75.1
78.0;74.9
79.0;74.9
80.0;74.9
81.0;74.8
82.0;74.8
83.0;74.8
84.0;74.7
85.0;74.7
86.0;74.7
87.0;74.6
88.0;74.6
89.0;74.5
90.0;74.5
91.0;74.5
92.0;74.5
93.0;74.4
94.0;74.3
95.0;74.3
96.0;74.2
97.0;74.2
98.0;74.2
99.0;74.2
100.0;74.1
101.0;74.1
102.0;74.1
103.0;73.9
104.0;73.9
105.0;73.9
106.0;73.8
107.0;73.9
108.0;73.7
109.0;73.7
110.0;73.7
111.0;73.7
112.0;73.6
113.0;73.6
114.0;73.5
115.0;73.5
116.0;73.4
117.0;73.5
118.0;73.5
119.0;73.5
120.0;73.4
121.0;73.3
122.0;73.3
123.0;73.3
124.0;73.2
125.0;73.1
126.0;73.0
127.0;73.0
128.0;73.1
129.0;73.1
130.0;73.0
131.0;72.9
132.0;72.8
133.0;72.9
134.0;72.8
135.0;72.8
136.0;72.8
137.0;72.7
138.0;72.7
139.0;72.7
140.0;72.5
141.0;72.6
142.0;72.6
143.0;72.5
144.0;72.5
145.0;72.5
146.0;72.5
147.0;72.4
148.0;72.3
149.0;72.2
150.0;72.2
151.0;72.3
152.0;72.1
153.0;72.1
154.0;72.1
155.0;72.1
156.0;72.0
157.0;72.0
158.0;71.9
159.0;71.9
160.0;71.9
161.0;71.9
162.0;71.9
163.0;71.9
164.0;71.8
165.0;71.7
166.0;71.8
167.0;71.7
168.0;71.6
169.0;71.6
170.0;71.6
171.0;71.6
172.0;71.5
173.0;71.5
174.0;71.5
175.0;71.4
176.0;71.4
177.0;71.4
178.0;71.3
179.0;71.3
180.0;71.2
181.0;71.1
182.0;71.1
183.0;71.1
184.0;71.2
185.0;71.2
186.0;71.0
187.0;71.0
188.0;71.0
189.0;71.0
190.0;70.9
191.0;70.9
192.0;71.0
193.0;70.8
194.0;70.8
195.0;70.8
196.0;70.7
197.0;70.7
198.0;70.6
199.0;70.7
200.0;70.6
201.0;70.5
202.0;70.5
203.0;70.4
204.0;70.5
205.0;70.5
206.0;70.4
207.0;70.4
208.0;70.3
209.0;70.3
210.0;70.3
211.0;70.3
212.0;70.2
213.0;70.3
214.0;70.3
215.0;70.1
216.0;70.1
217.0;70.0
218.0;70.0
219.0;70.0
220.0;70.0
221.0;69.9
222.0;70.0
223.0;70.0
224.0;70.0
225.0;69.9
226.0;70.0
227.0;69.8
228.0;69.9
229.0;69.9
230.0;69.8
231.0;69.7
232.0;69.6
233.0;69.7
234.0;69.6
235.0;69.6
236.0;69.6
237.0;69.6
238.0;69.4
239.0;69.5
240.0;69.4
241.0;69.5
242.0;69.3
243.0;69.3
244.0;69.3
245.0;69.4
246.0;69.2
247.0;69.2
248.0;69.1
249.0;69.1
250.0;69.2
251.0;69.0
252.0;69.1
253.0;69.0
254.0;69.0
255.0;68.9
256.0;68.9
257.0;68.9
258.0;68.9
259.0;68.8
260.0;68.9
261.0;68.8
262.0;68.7
263.0;68.8
264.0;68.8
265.0;68.7
266.0;68.7
267.0;68.6
268.0;68.6
269.0;68.6
270.0;68.6
271.0;68.5
272.0;68.5
273.0;68.4
274.0;68.4
275.0;68.3
276.0;68.4
277.0;68.3
278.0;68.4
279.0;68.3
280.0;68.4
281.0;68.3
282.0;68.2
283.0;68.2
284.0;68.1
285.0;68.1
286.0;68.2
287.0;68.1
288.0;68.1
289.0;68.1
290.0;68.0
291.0;68.0
292.0;68.0
293.0;68.0
294.0;67.9
295.0;67.9
296.0;67.9
297.0;67.8
298.0;67.8
299.0;67.8
300.0;67.7
301.0;67.8
302.0;67.8
303.0;67.8
304.0;67.6
305.0;67.6
306.0;67.6
307.0;67.7
308.0;67.5
309.0;67.6
310.0;67.5
311.0;67.5
312.0;67.5
313.0;67.4
314.0;67.4
315.0;67.3
316.0;67.3
317.0;67.3
318.0;67.3
319.0;67.2
320.0;67.2
321.0;67.2
322.0;67.1
323.0;67.1
324.0;67.1
325.0;67.0
326.0;67.0
327.0;67.0
328.0;67.0
329.0;66.9
330.0;67.0
331.0;66.9
332.0;66.8
